id,price_doc
30474,5307191.5
30475,8094947.5
30476,5217676.0
30477,5618908.5
30478,4970866.0
30479,9105092.0
30480,4190382.0
30481,4183602.0
30482,4704930.0
30483,4633975.0
30484,6428369.0
30485,4860024.0
30486,3664814.75
30487,3699219.75
30488,6157759.5
30489,6176238.5
30490,21874584.0
30491,19085320.0
30492,5559879.5
30493,12774478.0
30494,6642029.5
30495,11020441.0
30496,8349894.5
30497,8151290.0
30498,4445634.0
30499,7582680.5
30500,11107808.0
30501,6962540.0
30502,3011298.5
30503,6374183.5
30504,5506787.5
30505,11061148.0
30506,3209971.0
30507,4692763.5
30508,5423212.5
30509,7561759.5
30510,9249818.0
30511,6336454.5
30512,6210650.0
30513,4164117.75
30514,3491861.75
30515,9535488.0
30516,5731381.5
30517,11203643.0
30518,8597113.0
30519,4411715.5
30520,6831891.0
30521,5652694.0
30522,7462175.0
30523,6230862.5
30524,10548060.0
30525,9834199.0
30526,4824591.0
30527,5010321.5
30528,6548446.5
30529,6519546.0
30530,6026427.0
30531,14545818.0
30532,4587441.0
30533,10180002.0
30534,6612652.5
30535,9421161.0
30536,5713345.5
30537,11412614.0
30538,4794854.0
30539,8291894.5
30540,9597636.0
30541,5755800.5
30542,2121541.75
30543,5385079.5
30544,6610603.5
30545,8338602.5
30546,4184878.75
30547,9610019.0
30548,4413403.0
30549,5016713.5
30550,12081054.0
30551,4998504.0
30552,1877117.0
30553,6982648.5
30554,10669731.0
30555,6236289.5
30556,9149713.0
30557,7112089.0
30558,9354283.0
30559,5989813.0
30560,5806002.5
30561,6856825.5
30562,11925352.0
30563,4999963.0
30564,7143773.0
30565,6495671.0
30566,7050331.5
30567,2016472.125
30568,9887105.0
30569,9738332.0
30570,6384569.0
30571,7446130.5
30572,4823712.0
30573,6432533.0
30574,5846647.5
30575,7394245.5
30576,4832488.5
30577,3944869.0
30578,3242294.25
30579,7095294.5
30580,4434346.0
30581,5410984.5
30582,12741822.0
30583,6798470.5
30584,4388451.5
30585,2616126.75
30586,8702586.0
30587,5768340.5
30588,7923938.5
30589,7038783.0
30590,12468732.0
30591,5264083.5
30592,6441704.5
30593,7670863.0
30594,6603710.5
30595,5244910.5
30596,6576108.0
30597,6440095.0
30598,9523400.0
30599,10649806.0
30600,5166645.0
30601,6011611.5
30602,1750311.375
30603,12155943.0
30604,4541746.5
30605,6600064.5
30606,24802238.0
30607,6850714.0
30608,8623325.0
30609,6183311.0
30610,2958196.0
30611,5521127.5
30612,7243784.0
30613,8535801.0
30614,17693912.0
30615,7494696.5
30616,5627730.0
30617,9382033.0
30618,4991901.5
30619,4216298.0
30620,2630951.25
30621,8459148.0
30622,7476328.5
30623,6072406.5
30624,6618880.0
30625,7976861.0
30626,6266635.5
30627,7112706.5
30628,6336611.5
30629,5127827.0
30630,4631024.0
30631,6050192.0
30632,4004711.0
30633,5848019.5
30634,11557411.0
30635,9569687.0
30636,5319525.5
30637,9430437.0
30638,5705102.0
30639,7384429.5
30640,4543315.0
30641,7894378.0
30642,6542179.5
30643,7597497.5
30644,9519568.0
30645,7242617.0
30646,5202660.5
30647,4772595.5
30648,23686286.0
30649,2289202.25
30650,4910021.5
30651,3293915.25
30652,4441371.5
30653,7456626.0
30654,4530710.5
30655,12135881.0
30656,3874047.5
30657,6336454.5
30658,10617699.0
30659,4684809.0
30660,8564267.0
30661,6656049.5
30662,7930704.5
30663,15801960.0
30664,12320764.0
30665,6150857.0
30666,2664839.25
30667,4186962.75
30668,8857099.0
30669,4931194.5
30670,2361795.25
30671,7110122.5
30672,14436862.0
30673,10047652.0
30674,11448064.0
30675,2083952.875
30676,6635274.5
30677,4311199.5
30678,19448870.0
30679,5605902.0
30680,5171284.0
30681,2352212.5
30682,8665227.0
30683,9619389.0
30684,4466803.0
30685,6947947.5
30686,9230132.0
30687,4977175.0
30688,4502411.5
30689,15281178.0
30690,25051702.0
30691,4455133.0
30692,5982357.5
30693,11491512.0
30694,5493779.0
30695,6988211.0
30696,6405750.5
30697,11702884.0
30698,7597693.0
30699,5762798.0
30700,4888719.5
30701,9520676.0
30702,5913406.0
30703,3738879.25
30704,11472415.0
30705,8942347.0
30706,24179176.0
30707,3658243.0
30708,13691690.0
30709,6123372.5
30710,7299408.0
30711,4626901.0
30712,3977568.75
30713,6179998.0
30714,6965249.5
30715,3791392.5
30716,9619389.0
30717,6185788.0
30718,8832502.0
30719,14257214.0
30720,7272559.0
30721,4432249.0
30722,7302527.0
30723,6202120.5
30724,11883527.0
30725,6672326.0
30726,11434971.0
30727,9551798.0
30728,10942504.0
30729,3395006.0
30730,6139704.5
30731,6243151.0
30732,4433052.0
30733,9838964.0
30734,6991604.0
30735,5365088.0
30736,5478324.0
30737,6460420.0
30738,5905820.0
30739,4627638.0
30740,6865901.0
30741,11251034.0
30742,4085286.25
30743,4928514.5
30744,9041752.0
30745,6699846.0
30746,5545740.0
30747,16376215.0
30748,16145621.0
30749,4883701.5
30750,6384484.0
30751,3277874.0
30752,7050890.0
30753,9786522.0
30754,5426782.5
30755,4908813.5
30756,6452015.0
30757,5089494.0
30758,10183032.0
30759,5854162.5
30760,4349295.0
30761,9404267.0
30762,6717607.0
30763,11752766.0
30764,6078954.0
30765,5912204.5
30766,3483766.0
30767,9768413.0
30768,4335525.5
30769,7034837.5
30770,6076879.5
30771,2814118.75
30772,8365014.0
30773,7957979.5
30774,5671820.5
30775,12009718.0
30776,5478804.5
30777,6279198.5
30778,9306163.0
30779,6381683.5
30780,7487759.5
30781,6542522.5
30782,5060483.5
30783,5602000.5
30784,3579008.0
30785,5175003.5
30786,4106093.0
30787,6080856.0
30788,5609421.0
30789,7431955.5
30790,6404303.0
30791,9992571.0
30792,7111628.0
30793,10879239.0
30794,12711310.0
30795,11009391.0
30796,11188908.0
30797,13979907.0
30798,2648922.0
