price_doc,id
5270400.000000001,30474
8108561.999999995,30475
5146900.000000002,30476
5737200.5,30477
4951175.000000001,30478
9007566.99999999,30479
4196125.000000003,30480
4189519.0000000014,30481
4644200.000000001,30482
4678807.999999997,30483
6262603.0,30484
4860752.000000004,30485
3568861.249999999,30486
3765700.000000003,30487
6056721.499999997,30488
6100587.499999999,30489
22189625.99999999,30490
19464999.99999999,30491
5682799.999999998,30492
13184299.999999978,30493
6718599.999999994,30494
10530100.000000006,30495
8226856.5,30496
8216921.999999995,30497
4516600.000000004,30498
8053900.0000000065,30499
10936451.999999996,30500
6822099.999999997,30501
3014591.5000000005,30502
6500000.000000005,30503
5575600.000000003,30504
11122627.000000011,30505
3211802.2500000014,30506
4670105.999999996,30507
5314130.500000001,30508
7468835.2505594855,30509
9143205.999999993,30510
6500000.000000005,30511
6122100.000000005,30512
4176812.7499999995,30513
3436204.7499999986,30514
9631378.0,30515
5756261.500000005,30516
10991451.999999987,30517
8151282.500000004,30518
4410800.000000003,30519
6869254.499999998,30520
5694699.999999995,30521
7492588.500000004,30522
6373199.999999995,30523
10485200.000000004,30524
11472099.999999989,30525
4847221.000000002,30526
4917754.000000004,30527
6500000.000000005,30528
6530727.371434207,30529
6199999.999999996,30530
14222400.000000002,30531
4692285.000000001,30532
10702399.999999985,30533
6571788.499999995,30534
9408806.0,30535
5800650.5,30536
11313300.000000002,30537
4768699.999999997,30538
8607385.000000004,30539
9572187.000000006,30540
6000000.000000005,30541
2089780.1250000014,30542
5499999.999999997,30543
6536497.533082991,30544
8435199.999999993,30545
4082427.500000002,30546
9634445.99999999,30547
4464967.000000002,30548
5023732.499999998,30549
11935499.999999985,30550
5060126.999999997,30551
1802508.3749999984,30552
7038195.791536342,30553
10756199.999999987,30554
6165234.000000001,30555
8987009.000000004,30556
6999999.999999998,30557
9372900.000000011,30558
6025296.673193777,30559
6026391.955390891,30560
6700200.0,30561
12298647.99999999,30562
4878432.000000003,30563
7038742.785469573,30564
6500000.000000005,30565
6906848.499999997,30566
1949703.2499999986,30567
9738199.99999999,30568
9650499.999999996,30569
6625399.999999996,30570
7405961.000000004,30571
4787451.999999996,30572
6388351.000000001,30573
5835300.0,30574
7394699.9999999935,30575
4794499.999999996,30576
4020300.0000000033,30577
3219437.9999999977,30578
6869499.999999998,30579
4361600.000000002,30580
5434299.999999997,30581
12485400.000000017,30582
6770674.500000001,30583
4252800.000000002,30584
2493208.749999999,30585
9110565.000000007,30586
5694349.999999996,30587
7636199.999999995,30588
7105199.999999994,30589
12362299.999999989,30590
5253699.999999999,30591
6214333.431672299,30592
7629116.999999996,30593
6658513.000000003,30594
5368200.000000002,30595
6424875.499999999,30596
6388351.000000001,30597
9463897.99999999,30598
10396899.999999981,30599
4965852.999999998,30600
5790499.999999998,30601
1712213.125000001,30602
12023720.999999989,30603
4495299.999999999,30604
6627691.500000004,30605
23889199.99999996,30606
6724899.999999999,30607
8571628.999999996,30608
6099581.0,30609
2948195.249999999,30610
5403455.499999997,30611
6999999.999999998,30612
8585535.999999996,30613
16527241.99999998,30614
7306800.0000000065,30615
5512651.999999999,30616
9136699.999999993,30617
4900100.000000004,30618
4188660.2500000005,30619
2567374.2500000014,30620
8845000.000000006,30621
7499999.999999999,30622
6199999.999999996,30623
6701853.000000002,30624
7976192.000000004,30625
6113199.999999997,30626
7160600.000000003,30627
6317038.499999997,30628
5238500.000000002,30629
4629791.999999999,30630
6052097.000000005,30631
4053281.499999999,30632
5783999.999999995,30633
11330800.000000006,30634
9538980.000000017,30635
5265100.000000004,30636
9496156.999999989,30637
5794499.999999996,30638
7499999.999999999,30639
4535539.500000001,30640
8003584.5000000065,30641
6479116.452109811,30642
7655699.999999999,30643
9460091.000000002,30644
7242099.999999994,30645
5173399.999999996,30646
4672739.000000002,30647
23147259.99999999,30648
2079712.0000000007,30649
4939099.999999997,30650
3329407.249999997,30651
4430334.500000001,30652
7067524.999999996,30653
4382562.999999999,30654
12583602.999999981,30655
3909372.249999997,30656
6299999.999999995,30657
10705751.999999998,30658
4665996.999999998,30659
8369099.999999994,30660
6566306.999999998,30661
8236151.0000000065,30662
16343899.999999974,30663
11888499.999999994,30664
6075349.500000004,30665
2493919.9999999977,30666
4130463.249999997,30667
8869828.999999996,30668
4864513.499999999,30669
2393399.9999999995,30670
6999999.999999998,30671
15633448.999999987,30672
10162400.000000017,30673
11317800.000000004,30674
2037084.1249999993,30675
6635400.000000004,30676
4184699.9999999977,30677
19441413.99999999,30678
5609600.000000005,30679
5008534.500000004,30680
2387865.249999998,30681
8771300.000000002,30682
9479452.999999989,30683
4553899.999999997,30684
7315399.999999997,30685
9392273.999999987,30686
4985127.5,30687
4385907.999999998,30688
14079200.000000017,30689
25061164.000000045,30690
4376600.000000003,30691
5858900.000000004,30692
11383999.999999989,30693
5499999.999999997,30694
6884442.999999996,30695
6520816.666645368,30696
11955699.99999998,30697
7524908.637319121,30698
5812999.999999996,30699
4852572.500000005,30700
9461192.000000007,30701
6000000.000000005,30702
3764941.999999998,30703
11531142.000000004,30704
8842899.999999998,30705
23927354.0,30706
3515079.499999997,30707
13510200.000000022,30708
5966279.499999997,30709
6822599.999999997,30710
4565152.500000002,30711
3991004.5000000014,30712
6271234.328264253,30713
6894099.999999999,30714
3860640.7500000023,30715
9479452.999999989,30716
5963690.132795304,30717
8243900.0,30718
13838716.99999998,30719
7214699.999999998,30720
4613700.000000002,30721
7164384.500000006,30722
6040236.000000006,30723
12076629.999999987,30724
6706800.000000005,30725
11318599.999999987,30726
9641688.999999996,30727
11215530.999999981,30728
3279052.7500000014,30729
6186785.918390905,30730
6332467.500000002,30731
4333799.999999998,30732
9715099.999999985,30733
6850609.499999994,30734
5452128.000000002,30735
5477556.000000004,30736
6500000.000000005,30737
5972386.457690094,30738
4216354.000000003,30739
6794264.499999996,30740
11179501.000000007,30741
4070387.750000002,30742
4908859.999999999,30743
9344795.999999983,30744
6733299.999999999,30745
5623861.999999997,30746
13984499.999999978,30747
16495214.000000026,30748
4670400.0,30749
6468532.499999995,30750
3183700.0,30751
7119764.499999994,30752
9752533.000000011,30753
5402100.000000005,30754
4926813.500000001,30755
6006900.499999996,30756
5164599.999999995,30757
10140299.999999994,30758
5774399.999999999,30759
4579742.999999997,30760
9566000.000000002,30761
6721445.5,30762
11895387.999999983,30763
6011376.499999997,30764
5852500.000000002,30765
3341017.0000000023,30766
9594700.000000002,30767
4228099.999999998,30768
7036455.073401668,30769
6013303.000000002,30770
2754860.7499999995,30771
8315500.000000004,30772
7988112.499999995,30773
5571333.499999995,30774
11897800.000000007,30775
5729199.999999998,30776
6202801.499999995,30777
8894299.999999998,30778
6500000.000000005,30779
7473352.661289313,30780
6475686.500000003,30781
5250300.000000004,30782
5591011.000000005,30783
3589700.4999999967,30784
5219399.999999999,30785
4174033.749999999,30786
6060708.499999994,30787
5678173.999999996,30788
7354299.999999996,30789
6299999.999999995,30790
10022980.000000002,30791
6960893.500000001,30792
11629365.000000011,30793
13772300.00000002,30794
11035299.99999999,30795
11452299.999999989,30796
14430970.000000017,30797
2597719.4999999986,30798
